House # ,Waste,Organic,Recycle
I-5624,Tue,"Sat,Tue",Sat
I-5625,Tue,"Sat,Tue",Sat
I-5626,Tue,"Sat,Tue",Sat
I-5627,Tue,"Sat,Tue",Sat
I-5628,Tue,"Sat,Tue",Sat
I-5629,Tue,"Sat,Tue",Sat
I-5630,Tue,"Sat,Tue",Sat
I-5631,Tue,"Sat,Tue",Sat
I-5632,Tue,"Sat,Tue",Sat
I-5633,Tue,"Sat,Tue",Sat
I-5634,Tue,"Sat,Tue",Sat
I-5635,Tue,"Sat,Tue",Sat
I-5636,Tue,"Sat,Tue",Sat
I-5637,Tue,"Sat,Tue",Sat
I-5638,Tue,"Sat,Tue",Sat
I-5639,Tue,"Sat,Tue",Sat
I-5640,Tue,"Sat,Tue",Sat
I-5641,Tue,"Sat,Tue",Sat
I-5642,Tue,"Sat,Tue",Sat
I-5700,Tue,"Sat,Tue",Sat
I-5701,Tue,"Sat,Tue",Sat
I-5702,Tue,"Sat,Tue",Sat
I-5703,Tue,"Sat,Tue",Sat
I-5704,Tue,"Sat,Tue",Sat
I-5705,Tue,"Sat,Tue",Sat
I-5706,Tue,"Sat,Tue",Sat
I-5707,Tue,"Sat,Tue",Sat
I-5708,Tue,"Sat,Tue",Sat
I-5709,Tue,"Sat,Tue",Sat
I-5710,Tue,"Sat,Tue",Sat
I-5711,Tue,"Sat,Tue",Sat
I-5712,Tue,"Sat,Tue",Sat
I-5713,Tue,"Sat,Tue",Sat
I-5714,Tue,"Sat,Tue",Sat
I-5715,Tue,"Sat,Tue",Sat
I-5716,Tue,"Sat,Tue",Sat
I-5717,Tue,"Sat,Tue",Sat
I-5718,Tue,"Sat,Tue",Sat
I-5719,Tue,"Sat,Tue",Sat
I-5720,Tue,"Sat,Tue",Sat
I-5721,Tue,"Sat,Tue",Sat
I-5722,Tue,"Sat,Tue",Sat
I-5723,Tue,"Sat,Tue",Sat
I-5724,Tue,"Sat,Tue",Sat
I-5725,Tue,"Sat,Tue",Sat
I-5726,Tue,"Sat,Tue",Sat
I-5727,Tue,"Sat,Tue",Sat
I-5728,Tue,"Sat,Tue",Sat
I-5729,Tue,"Sat,Tue",Sat
I-5730,Tue,"Sat,Tue",Sat
I-5731,Tue,"Sat,Tue",Sat
I-5732,Tue,"Sat,Tue",Sat
I-5733,Tue,"Sat,Tue",Sat
I-5734,Tue,"Sat,Tue",Sat
I-5735,Tue,"Sat,Tue",Sat
I-5736,Tue,"Sat,Tue",Sat
I-5737,Tue,"Sat,Tue",Sat
I-5738,Tue,"Sat,Tue",Sat
I-5739,Tue,"Sat,Tue",Sat
I-5740,Tue,"Sat,Tue",Sat
I-5741,Tue,"Sat,Tue",Sat
I-5742,Tue,"Sat,Tue",Sat
I-5743,Tue,"Sat,Tue",Sat
I-5744,Tue,"Sat,Tue",Sat
I-5745,Tue,"Sat,Tue",Sat
I-5746,Tue,"Sat,Tue",Sat
I-5747,Tue,"Sat,Tue",Sat
I-5748,Tue,"Sat,Tue",Sat
I-5749,Tue,"Sat,Tue",Sat
I-5750,Tue,"Sat,Tue",Sat
I-5751,Tue,"Sat,Tue",Sat
I-5752,Tue,"Sat,Tue",Sat
I-5753,Tue,"Sat,Tue",Sat
I-5754,Tue,"Sat,Tue",Sat
I-5755,Tue,"Sat,Tue",Sat
I-5756,Tue,"Sat,Tue",Sat
I-5757,Tue,"Sat,Tue",Sat
I-5758,Tue,"Sat,Tue",Sat
I-5759,Tue,"Sat,Tue",Sat
I-5760,Tue,"Sat,Tue",Sat
I-5761,Tue,"Sat,Tue",Sat
I-5762,Tue,"Sat,Tue",Sat
I-5763,Tue,"Sat,Tue",Sat
I-5764,Tue,"Sat,Tue",Sat
I-5765,Tue,"Sat,Tue",Sat
I-5766,Tue,"Sat,Tue",Sat
I-5767,Tue,"Sat,Tue",Sat
I-5768,Tue,"Sat,Tue",Sat
I-5769,Tue,"Sat,Tue",Sat
I-5770,Tue,"Sat,Tue",Sat
I-5771,Tue,"Sat,Tue",Sat
I-5772,Tue,"Sat,Tue",Sat
I-5773,Tue,"Sat,Tue",Sat
I-5774,Tue,"Sat,Tue",Sat
G-3700,Tue,"Sat,Tue",Tue
G-3701,Tue,"Sat,Tue",Tue
G-3702,Tue,"Sat,Tue",Tue
G-3703,Tue,"Sat,Tue",Tue
G-3704,Tue,"Sat,Tue",Tue
G-3705,Tue,"Sat,Tue",Tue
G-3706,Tue,"Sat,Tue",Tue
G-3707,Tue,"Sat,Tue",Tue
G-3708,Tue,"Sat,Tue",Tue
G-3709,Tue,"Sat,Tue",Tue
G-3710,Tue,"Sat,Tue",Tue
G-3711,Tue,"Sat,Tue",Tue
G-3712,Tue,"Sat,Tue",Tue
G-3713,Tue,"Sat,Tue",Tue
G-3714,Tue,"Sat,Tue",Tue
G-3715,Tue,"Sat,Tue",Tue
G-3716,Tue,"Sat,Tue",Tue
G-3717,Tue,"Sat,Tue",Tue
G-3718,Tue,"Sat,Tue",Tue
G-3719,Tue,"Sat,Tue",Tue
G-3720,Tue,"Sat,Tue",Tue
G-3721,Tue,"Sat,Tue",Tue
G-3722,Tue,"Sat,Tue",Tue
G-3723,Tue,"Sat,Tue",Tue
G-3724,Tue,"Sat,Tue",Tue
G-3725,Tue,"Sat,Tue",Tue
G-3726,Tue,"Sat,Tue",Tue
G-3727,Tue,"Sat,Tue",Tue
G-3728,Tue,"Sat,Tue",Tue
G-3729,Tue,"Sat,Tue",Tue
G-3730,Tue,"Sat,Tue",Tue
G-3731,Tue,"Sat,Tue",Tue
G-3732,Tue,"Sat,Tue",Tue
G-3733,Tue,"Sat,Tue",Tue
G-3734,Tue,"Sat,Tue",Tue
G-3735,Tue,"Sat,Tue",Tue
G-3736,Tue,"Sat,Tue",Tue
G-3737,Tue,"Sat,Tue",Tue
G-3738,Tue,"Sat,Tue",Tue
G-3739,Tue,"Sat,Tue",Tue
G-3740,Mon,"Mon,Thu",Tue
G-3741,Mon,"Mon,Thu",Thu
G-3742,Mon,"Mon,Thu",Thu
G-3743,Mon,"Mon,Thu",Thu
G-3744,Mon,"Mon,Thu",Thu
G-3745,Mon,"Mon,Thu",Thu
G-3746,Mon,"Mon,Thu",Thu
G-3747,Mon,"Mon,Thu",Thu
G-3748,Mon,"Mon,Thu",Thu
G-3749,Mon,"Mon,Thu",Thu
G-3750,Mon,"Mon,Thu",Thu
G-3751,Mon,"Mon,Thu",Thu
G-3752,Mon,"Mon,Thu",Thu
G-3753,Mon,"Mon,Thu",Thu
G-3754,Mon,"Mon,Thu",Thu
G-3755,Mon,"Mon,Thu",Thu
G-3756,Mon,"Mon,Thu",Thu
G-3757,Mon,"Mon,Thu",Thu
G-3758,Mon,"Mon,Thu",Thu
G-3759,Mon,"Mon,Thu",Thu
G-3760,Mon,"Mon,Thu",Thu
G-3761,Mon,"Mon,Thu",Thu
G-3762,Mon,"Mon,Thu",Thu
G-3763,Mon,"Mon,Thu",Thu
G-3764,Mon,"Mon,Thu",Thu
G-3765,Mon,"Mon,Thu",Thu
G-3766,Mon,"Mon,Thu",Thu
G-3767,Mon,"Mon,Thu",Thu
G-3768,Mon,"Mon,Thu",Thu
G-3769,Mon,"Mon,Thu",Thu
G-3770,Mon,"Mon,Thu",Thu
G-3771,Mon,"Mon,Thu",Thu
G-3773,Mon,"Mon,Thu",Thu
G-3775,Mon,"Mon,Thu",Thu
G-3777,Mon,"Mon,Thu",Thu
G-3779,Mon,"Mon,Thu",Thu
G-3800-AB,Mon,"Mon,Thu",Thu
G-3800-CD,Mon,"Mon,Thu",Thu
G-3801-AB,Mon,"Mon,Thu",Thu
G-3801-CD,Mon,"Mon,Thu",Thu
G-3802-AB,Mon,"Mon,Thu",Thu
G-3802-CD,Mon,"Mon,Thu",Thu
G-3803-AB,Mon,"Mon,Thu",Thu
G-3803-CD,Mon,"Mon,Thu",Thu
G-3804-AB,Mon,"Mon,Thu",Thu
G-3804-CD,Mon,"Mon,Thu",Thu
G-3805-AB,Mon,"Mon,Thu",Thu
G-3805-CD,Mon,"Mon,Thu",Thu
G-3806-AB,Mon,"Mon,Thu",Thu
G-3806-CD,Mon,"Mon,Thu",Thu
G-3807-AB,Mon,"Mon,Thu",Thu
G-3807-CD,Mon,"Mon,Thu",Thu
G-3808,Mon,"Mon,Thu",Thu
G-3809-AB,Mon,"Mon,Thu",Thu
G-3809-CD,Mon,"Mon,Thu",Thu
G-3810,Mon,"Mon,Thu",Thu
G-3811,Mon,"Mon,Thu",Thu
G-3812,Mon,"Mon,Thu",Thu
G-3813,Mon,"Mon,Thu",Thu
G-3814,Mon,"Mon,Thu",Thu
G-3815,Mon,"Mon,Thu",Thu
G-3816,Mon,"Mon,Thu",Thu
G-3817,Mon,"Mon,Thu",Thu
G-3818,Mon,"Mon,Thu",Thu
G-3819,Mon,"Mon,Thu",Thu
G-3820,Mon,"Mon,Thu",Thu
G-3821,Mon,"Mon,Thu",Thu
G-3822,Mon,"Mon,Thu",Thu
G-3823,Mon,"Mon,Thu",Thu
G-3825,Mon,"Mon,Thu",Thu
G-3827,Mon,"Mon,Thu",Thu
G-3829,Mon,"Mon,Thu",Thu
G-3830,Mon,"Mon,Thu",Thu
G-3831,Mon,"Mon,Thu",Thu
G-3832,Mon,"Mon,Thu",Thu
G-3833,Mon,"Mon,Thu",Thu
G-3835,Mon,"Mon,Thu",Thu
G-3837,Mon,"Mon,Thu",Thu
G-3850,Tue,"Sat,Tue",Tue
G-3851,Tue,"Sat,Tue",Tue
G-3852,Tue,"Sat,Tue",Tue
G-3853,Tue,"Sat,Tue",Tue
G-3854,Tue,"Sat,Tue",Tue
G-3855,Tue,"Sat,Tue",Tue
G-3856,Tue,"Sat,Tue",Tue
G-3857,Tue,"Sat,Tue",Tue
G-3858,Tue,"Sat,Tue",Tue
G-3859,Tue,"Sat,Tue",Tue
G-3860,Tue,"Sat,Tue",Tue
G-3861,Tue,"Sat,Tue",Tue
G-3862,Tue,"Sat,Tue",Tue
G-3863,Tue,"Sat,Tue",Tue
G-3864,Tue,"Sat,Tue",Tue
G-3865,Tue,"Sat,Tue",Tue
G-3866,Tue,"Sat,Tue",Tue
G-3867,Tue,"Sat,Tue",Tue
G-3868,Tue,"Sat,Tue",Tue
G-3869,Tue,"Sat,Tue",Tue
G-3870,Tue,"Sat,Tue",Tue
G-3871,Tue,"Sat,Tue",Tue
G-3872,Tue,"Sat,Tue",Tue
